sortTime,operatedBy,url,date,iata,icao,airport_name,departureTime_timeAMPM,departureTime_time24,arrivalTime_timeAMPM,arrivalTime_time24,carrier_fs,carrier_name,carrier_flightNumber,airport_fs,airport_city,isCodeshare
2020-12-17T15:30:00.000Z,,/flight-tracker/XL/1397?year=2020&month=12&date=17&flightId=1050491181,17-Dec-2020,OCC,SECO,Coca Airport,9:48AM,09:48,10:30AM,10:30,XL,LATAM Airlines Ecuador,1397,UIO,Quito,
2020-12-17T13:09:00.000Z,,/flight-tracker/XL/1401?year=2020&month=12&date=17&flightId=1050491230,17-Dec-2020,CUE,SECU,Mariscal Lamar International Airport,7:15AM,07:15,8:09AM,08:09,XL,LATAM Airlines Ecuador,1401,UIO,Quito,
2020-12-17T13:09:00.000Z,Operated by LATAM Airlines Ecuador 1401,/flight-tracker/IB/7281?year=2020&month=12&date=17&flightId=1050491230,17-Dec-2020,CUE,SECU,Mariscal Lamar International Airport,7:15AM,07:15,8:09AM,08:09,IB,Iberia,7281,UIO,Quito,True
2020-12-17T21:35:00.000Z,,/flight-tracker/XL/1403?year=2020&month=12&date=17&flightId=1050491197,17-Dec-2020,CUE,SECU,Mariscal Lamar International Airport,3:41PM,15:41,4:35PM,16:35,XL,LATAM Airlines Ecuador,1403,UIO,Quito,
2020-12-17T16:59:00.000Z,,/flight-tracker/XL/1413?year=2020&month=12&date=17&flightId=1050491209,17-Dec-2020,GPS,SEGS,Baltra Airport,10:02AM,10:02,10:59AM,10:59,XL,LATAM Airlines Ecuador,1413,GYE,Guayaquil,
2020-12-17T18:34:00.000Z,Operated by Avianca Ecuador on behalf of SA AVIANCA,/flight-tracker/AV/1632?year=2020&month=12&date=17&flightId=1050442619,17-Dec-2020,GPS,SEGS,Baltra Airport,11:37AM,11:37,12:34PM,12:34,AV,SA AVIANCA,1632,GYE,Guayaquil,
2020-12-17T19:56:00.000Z,,/flight-tracker/XL/1415?year=2020&month=12&date=17&flightId=1050491259,17-Dec-2020,GPS,SEGS,Baltra Airport,12:59PM,12:59,1:56PM,13:56,XL,LATAM Airlines Ecuador,1415,GYE,Guayaquil,
2020-12-17T06:25:00.000Z,Operated by Avianca Ecuador on behalf of SA AVIANCA,/flight-tracker/AV/8381?year=2020&month=12&date=16&flightId=1050375654,17-Dec-2020,GYE,SEGU,Jose Joaquin de Olmedo Airport,11:25PM,23:25,1:25AM,01:25,AV,SA AVIANCA,8381,BOG,Bogota,
2020-12-17T11:59:00.000Z,,/flight-tracker/XL/1355?year=2020&month=12&date=17&flightId=1050491254,17-Dec-2020,GYE,SEGU,Jose Joaquin de Olmedo Airport,6:05AM,06:05,6:59AM,06:59,XL,LATAM Airlines Ecuador,1355,UIO,Quito,
2020-12-17T12:40:00.000Z,,/flight-tracker/2D*/322?year=2020&month=12&date=17&flightId=1050429390,17-Dec-2020,GYE,SEGU,Jose Joaquin de Olmedo Airport,1:00AM,01:00,7:40AM,07:40,2D*,Eastern Airlines,322,JFK,New York,
